tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
"Happy National Day, The #Netherlands! Warm greetings and best wishes from #Poland! 🇵🇱 #Koningsdag!",https://t.co/1rHhNrmtcT,http://t.co/1rHhNrmtcT,https://twitter.com/PolandMFA/status/1386947524028780544,"Apr 27, 2021"
"FM @RauZbigniew, together with 🇪🇸 FM @AranchaGlezLaya and 🇷🇴 FM @BogdanAurescu, took part today in a webinar on the 🇪🇺 neighbourhood policy.

He emphasised the importance of the next #EaP-EU summit, and the need for the #EU to support 🇺🇦 in the face of 🇷🇺's aggressive policies.",https://t.co/fVlpferlvr,http://t.co/fVlpferlvr,https://twitter.com/PolandMFA/status/1386697353265025029,"Apr 26, 2021"
RT @PremierRP_en: 🇵🇱🇨🇿🇭🇺🇸🇰Declaration of the Prime Ministers of the #V4 on the solidarity with the Czech Republic regarding recent actions…,,,https://twitter.com/PolandMFA/status/1386660438197293056,"Apr 26, 2021"
"RT @PremierRP_en: Today PM @MorawieckiM called an urgent video conference of #V4 leaders to discuss Russian acts of sabotage in 🇨🇿, 🇷🇺 esca…",,,https://twitter.com/PolandMFA/status/1386578389545410560,"Apr 26, 2021"
"The Trilogue 🇵🇱🇷🇴🇹🇷 FMs met in Bucharest with the FMs of 🇬🇪🇺🇦.
 
– Our countries are the pillars of NATO’s Eastern Flank, standing in the front line of the Alliance and exposed to direct threats to their security – pointed out FM @RauZbigniew.
 
More ↘️",https://t.co/2bDHP363O4,http://t.co/2bDHP363O4,https://twitter.com/PolandMFA/status/1385908844166098944,"Apr 24, 2021"
"FM @RauZbigniew had 📞 conversation with the new appointed 🇨🇿 FM Jakub Kulhánek.

Ministers discussed the perspectives of bilateral and regional cooperation. 🇵🇱 expressed the solidarity with Czech Republic and supports the allies' decisions necessary for security in the region.",https://t.co/DOCzMjrBeM,http://t.co/DOCzMjrBeM,https://twitter.com/PolandMFA/status/1385613519924629504,"Apr 23, 2021"
"#MFA statement on declaring Polish diplomats personae non gratae in Russia.
 
Read more↘️",https://t.co/oBHWpJT6U2,http://t.co/oBHWpJT6U2,https://twitter.com/PolandMFA/status/1385594610811117572,"Apr 23, 2021"
"Dep. FM @paweljabIonski held a VTC with his 🇷🇸counterpart Vladimir Marić on economic diplomacy.
 
He stressed that supporting entrepreneurs in their expansion onto foreign markets is key, and that #PolandMFA is ready to share its experience in this area with its 🇷🇸 partners.",https://t.co/Bh1OHOMVFM,http://t.co/Bh1OHOMVFM,https://twitter.com/PolandMFA/status/1385576024491143168,"Apr 23, 2021"
"Trilogue working session with the FMs of 🇬🇪 & 🇺🇦 was held today in Bucharest.

FMs discussed the situation in the Alliance's Eastern neighbourhood and the perspectives of 🇬🇪 & 🇺🇦 relations with #NATO. Trilogue countries provided the support to their Euro-Atlantic aspirations.",https://t.co/KSOsc1aYrF,http://t.co/KSOsc1aYrF,https://twitter.com/PolandMFA/status/1385545704140115972,"Apr 23, 2021"
"FM @RauZbigniew today in Bucharest, after two-day 🇵🇱🇷🇴🇹🇷 Foreign Ministers' Meeting #SecurityTrilateral2021 and bilateral talks:",https://t.co/QfhLNPTVzh,http://t.co/QfhLNPTVzh,https://twitter.com/PolandMFA/status/1385524141768511495,"Apr 23, 2021"
"FM @RauZbigniew takes part in the working session during the second day of #SecurityTrilateral2021.
 
The ministers discussed:
➡️preparation for the June #NATO Summit
➡️progress in Trilogue's operationalization
➡️the security situation in the region with the FMs 🇬🇪 and 🇺🇦.",https://t.co/WWoQFMHMnX,http://t.co/WWoQFMHMnX,https://twitter.com/PolandMFA/status/1385508315887714306,"Apr 23, 2021"
"On the margins of the Trilogue 🇵🇱🇷🇴🇹🇷 FM @RauZbigniew held talks with 🇬🇪 FM @DZalkaliani.
 
Ministers discussed Russian activity in the region & the #Georgia security situation. Poland lends support to Georgia's 🇪🇺 and Euro-Atlantic aspirations and its territorial integrity.",https://t.co/v69XdmVsFS,http://t.co/v69XdmVsFS,https://twitter.com/PolandMFA/status/1385500041540952066,"Apr 23, 2021"
"During today's #SecurityTrilateral2021 working dinner, the FMs of 🇵🇱🇷🇴🇹🇷 exchanged views on the situation on #NATO's eastern flank, on the preparations for the June Summit of the NATO leaders and on the Alliance's role in the changing 🌍 context and in the face of new challenges.",https://t.co/6Bd8BqCQhn,http://t.co/6Bd8BqCQhn,https://twitter.com/PolandMFA/status/1385309589722312708,"Apr 22, 2021"
"FM @RauZbigniew met with his 🇹🇷 counterpart @MevlutCavusoglu today in Bucharest.

The ministers talked about 🇵🇱🇹🇷 relations, which they both assessed as very good. They also exchanged on a number of political and economic issues, as well as on  the state of the 🇹🇷🇪🇺 relations.",https://t.co/U8tzXdQ6Lt,http://t.co/U8tzXdQ6Lt,https://twitter.com/PolandMFA/status/1385284998614470664,"Apr 22, 2021"
"During his visit to Bucharest, FM @RauZbigniew held bilateral consultations with FM @BogdanAurescu. 

The ministers discussed ways to further develop the 🇵🇱🇷🇴 strategic partnership, as well as the 🇵🇱🇷🇴 cooperation in the area of security and within the #ThreeSeas Initiative.",https://t.co/U9CzuzadAR,http://t.co/U9CzuzadAR,https://twitter.com/PolandMFA/status/1385279943979020294,"Apr 22, 2021"
"FM @RauZbigniew, today in Bucharest, during the inauguration of the exhibition ""Allies. Poland-Romania. 1918-1939"", which marks the centenary of the 🇵🇱🇷🇴 military alliance:",https://t.co/MGUFds3PMN,http://t.co/MGUFds3PMN,https://twitter.com/PolandMFA/status/1385264111995572224,"Apr 22, 2021"
"FM @RauZbigniew while opening, together with FM @BogdanAurescu, the exhibition ""Allies. Poland-Romania. 1918-1939"" which marks 100 years of the 🇵🇱🇷🇴 military alliance:

💬Although the alliance was never tested on a battlefield, the 🇵🇱🇷🇴 friendship withstood the test of time.",https://t.co/VryUtuXRaa,http://t.co/VryUtuXRaa,https://twitter.com/PolandMFA/status/1385254443340414979,"Apr 22, 2021"
"FM @RauZbigniew's visit to Bucharest began with a meeting of the FMs of 🇵🇱🇷🇴🇹🇷 with President @KlausIohannis.

The minister said that 🇷🇴 has been one of 🇵🇱's most reliable allies, and that we share a common threat assessment and understanding of #NATO's key role for 🌍 security.",https://t.co/sMZkXCDoTd,http://t.co/sMZkXCDoTd,https://twitter.com/PolandMFA/status/1385244436632907779,"Apr 22, 2021"
RT @PremierRP_en: Poland perceives the @ThreeSeas24 as the most vital format for boosting the development of the #CEE region. #Slovenia and…,,,https://twitter.com/PolandMFA/status/1385194993556590596,"Apr 22, 2021"
"RT @PremierRP_en: 🇵🇱🤝🇸🇮#DYK that in 2015-2019, the average annual growth in Polish-Slovenian turnover was 10%? Working closely together we…",,,https://twitter.com/PolandMFA/status/1385194963944841223,"Apr 22, 2021"
"On April 22-23, FM @RauZbigniew will be on a two-day visit to #Romania.

While in Bucharest, he is to take part in the 🇵🇱🇷🇴🇹🇷 Foreign Ministers' Meeting #SecurityTrilateral2021, to hold bilateral talks, and to mark the 100th anniversary of the 1921 🇵🇱🇷🇴 military convention.",https://t.co/UYSz8OL2wA,http://t.co/UYSz8OL2wA,https://twitter.com/PolandMFA/status/1385193041233907712,"Apr 22, 2021"
RT @PLinNATO: Poland 🇵🇱 and all #NATO Allies express deep concern over the destabilising actions Russia 🇷🇺 continues to carry out across th…,,,https://twitter.com/PolandMFA/status/1385174135530266627,"Apr 22, 2021"
"RT @RauZbigniew: Heartfelt congratulations to Minister Jakub Kulhánek on his appointment as head of @CzechMFA.

Looking forward to our clos…",,,https://twitter.com/PolandMFA/status/1384928703256449025,"Apr 21, 2021"
"""For nearly half a century, Poland and the Philippines have enjoyed friendly relations based on respect, understanding and mutually beneficial cooperation,"" dep. FM @marcin_przydacz stressed during today's political consultations with his 🇵🇭 counterpart @BethBuensuceso.",https://t.co/pECJPUoJPX,http://t.co/pECJPUoJPX,https://twitter.com/PolandMFA/status/1384896513608925188,"Apr 21, 2021"
"""The @OSCE provides us with the necessary support in our bilateral efforts and within other international organisations,"" FM @RauZbigniew stressed during yesterday's meeting with the OSCE Secretary General @HelgaSchmid_SG.

More ⤵️",https://t.co/XD2pQm9Mwg,http://t.co/XD2pQm9Mwg,https://twitter.com/PolandMFA/status/1384895955519082496,"Apr 21, 2021"
"Dep. FM @paweljabIonski presented the #ThreeSeas Initiative and its significance for connectivity in the region.

Some 150 participants took part in the seminar on opportunities for the #V4 – Japan cooperation in the area of #connectivity, organised by @PLinTokyo.",https://t.co/TKLScwuVWV,http://t.co/TKLScwuVWV,https://twitter.com/PolandMFA/status/1384833499480432640,"Apr 21, 2021"
"Ahead of tomorrow's meeting of the Trilogue 🇵🇱🇷🇴🇹🇷 foreign ministers in Bucharest, FM @RauZbigniew participates in an online debate on trilateral cooperation in overcoming security challenges caused by the #COVID19 pandemic, organised by @NSC_Romania, @OSW_eng and @setavakfi.",https://t.co/HWXJXvsGUq,http://t.co/HWXJXvsGUq,https://twitter.com/PolandMFA/status/1384799195492716545,"Apr 21, 2021"
"Dep. FM @marcin_przydacz spoke to @OSCE SG @HelgaSchmid_SG about the OSCE involvement in different regions:
 
“The human rights situation in Belarus should be placed high on the OSCE agenda, and the unity of the participating states is crucial in this respect.”",https://t.co/x5fBskJW2Q,http://t.co/x5fBskJW2Q,https://twitter.com/PolandMFA/status/1384566264421568512,"Apr 20, 2021"
"FM @RauZbigniew held a 📞 call with the #Vietnam FM @FMBuiThanhSon.
 
The ministers discussed the prospects of 🇵🇱-🇻🇳 bilateral cooperation and the calendar of high-level political contacts.
 
More↘️",https://t.co/0jYQwe6B5W,http://t.co/0jYQwe6B5W,https://twitter.com/PolandMFA/status/1384514110071709699,"Apr 20, 2021"
"Earlier today, dep. FM @SzSz_velSek received 🇯🇵 Ambassador @AkioMiyajima.
 
The meeting focused on 🇵🇱's presidency of the Visegrad Group, as well as on ways and opportunities to develop and strengthen the cooperation between the #V4 states and #Japan.",https://t.co/kZwzdZs6VE,http://t.co/kZwzdZs6VE,https://twitter.com/PolandMFA/status/1384508154160029699,"Apr 20, 2021"
"FM @RauZbigniew discussed today with H.E. Ivan Jestřáb, Czechia’s Ambassador to Poland, the hostile activities conducted by Russia.

We stand by our 🇨🇿 allies and support the difficult decisions necessary to ensure our safety.",https://t.co/dxFPp2WEdI,http://t.co/dxFPp2WEdI,https://twitter.com/PolandMFA/status/1384221833935810560,"Apr 19, 2021"
"Statement of the Ministers of Foreign Affairs of the #V4 countries 🇵🇱🇨🇿🇭🇺🇸🇰

Read the statement ➡️",https://t.co/Nn4gz0IWJH,http://t.co/Nn4gz0IWJH,https://twitter.com/PolandMFA/status/1384194376805490688,"Apr 19, 2021"
"FM @RauZbigniew held a 📞 call with the 🇱🇺 FM Jean Asselborn.

Among the topics:
▪️the centenary of the 🇵🇱🇱🇺 diplomatic relations,
▪️commemoration of the Holocaust victims, in particular the victims of KL Gusen,
▪️challenges facing the EU, including COVID19 and economic recovery.",https://t.co/iteb2P1W1O,http://t.co/iteb2P1W1O,https://twitter.com/PolandMFA/status/1384174794619310095,"Apr 19, 2021"
"""Poland 🇵🇱 is particularly interested in active and effective functioning of the institution. We are proud to support @osce_odihr in its mission to enhance democracy and advance human rights in the entire @OSCE region,"" said FM @RauZbigniew.",https://t.co/HxQ5xxPdLH,http://t.co/HxQ5xxPdLH,https://twitter.com/PolandMFA/status/1384133610505076748,"Apr 19, 2021"
"""Poland 🇵🇱 is once again fulfilling its obligation towards those affected by a humanitarian crisis,"" Dep. FM @paweljabIonski said on an airlift of humanitarian aid dispatched to Yerevan last Thursday.",https://t.co/iVRWFiiCbV,http://t.co/iVRWFiiCbV,https://twitter.com/PolandMFA/status/1384132007928553482,"Apr 19, 2021"
"FM @RauZbigniew participates today in a videoconference of the #EU Foreign Ministers. 🇪🇺

The meeting focuses on the situation in Ukraine 🇺🇦 and Ethiopia 🇪🇹.

Ministers also discuss developments in Russia, Belarus, Georgia, India, Myanmar and Mozambique.",https://t.co/KZB99KtCcY,http://t.co/KZB99KtCcY,https://twitter.com/PolandMFA/status/1384120685878865925,"Apr 19, 2021"
"FM @RauZbigniew and the FM of Israel @Gabi_Ashkenazi along with the 🇵🇱 and 🇮🇱 diplomats around the world commemorated the 78th anniversary of the outbreak of the #WarsawGhettoUprising by joining the Daffodils Campaign organized by @polinmuseum.

➡️",https://t.co/7RIaceUrPN,http://t.co/7RIaceUrPN,https://twitter.com/PolandMFA/status/1384080686420611077,"Apr 19, 2021"
"Allied solidarity and immediate reaction - this is what makes us strong. Poland fully supports 🇨🇿 decission to expell 18 Russian 🇷🇺 diplomats connected to the explosion of the 2014 ammunition depot""",,,https://twitter.com/PolandMFA/status/1383777066135416839,"Apr 18, 2021"
"RT @NATOpress: #Russia plans to restrict access to parts of #BlackSea & #Kerchstrait wld be unjustified move, part of broader pattern of de…",,,https://twitter.com/PolandMFA/status/1383456353658671116,"Apr 17, 2021"
"FM @RauZbigniew held a ☎️ call today with 🇸🇪 FM @AnnLinde about the situation in 🇺🇦.

""We must maintain the diplomatic pressure on 🇷🇺 to prevent further escalation,"" he said in the context of his visit to #Kyiv last week.

🇵🇱 and 🇸🇪 work together closely within the #OSCE Troika.",https://t.co/2jkKr9I1cg,http://t.co/2jkKr9I1cg,https://twitter.com/PolandMFA/status/1383081100319330311,"Apr 16, 2021"
"""The international community needs institutions that uphold our common values of democracy and human rights. We are committed to enhancing the effectiveness of the #ODIHR,"" FM @RauZbigniew said during today's meeting with the Director of the @osce_odihr, @MatteoMecacci.",https://t.co/gK2Hz901rT,http://t.co/gK2Hz901rT,https://twitter.com/PolandMFA/status/1383067944868061186,"Apr 16, 2021"
"FM @RauZbigniew met today with 🇳🇱 Ambassador to 🇵🇱 @DaphneBergsma.
 
He expressed concern about, among others, the insufficient level of respect for the rights of 🇵🇱 temporary workers in 🇳🇱, and about irregularities in the payment of family benefits, which also affects Poles.",https://t.co/3V3BE5ThgH,http://t.co/3V3BE5ThgH,https://twitter.com/PolandMFA/status/1383025978599956481,"Apr 16, 2021"
"#MFA announcement concerning the publication of the second report of the #OPCW IIT on the use of chemical weapons in #Syria🇸🇾.

👉",https://t.co/OnRME6FuH1,http://t.co/OnRME6FuH1,https://twitter.com/PolandMFA/status/1382990460520693762,"Apr 16, 2021"
"– Poland🇵🇱 will support actions aimed at enhancing cooperation between the #V4 and Central Asia to the extent that will be beneficial to all interested states – dep. FM @SzSz_velSek underlined during yesterday's VTC consultations.
 
⬇️",https://t.co/Byrg4c7dp4,http://t.co/Byrg4c7dp4,https://twitter.com/PolandMFA/status/1382990026284412930,"Apr 16, 2021"
"MFA statement on devcision to declare three Russian diplomats as personae non gratae.

Full text ↘️",https://t.co/mnMQQ9dGsE,http://t.co/mnMQQ9dGsE,https://twitter.com/PolandMFA/status/1382748627806863362,"Apr 15, 2021"
"MFA statement on Solar Winds Orion cyberattacks.

Full text↘️",https://t.co/pe2hfsM4Cs,http://t.co/pe2hfsM4Cs,https://twitter.com/PolandMFA/status/1382729816596697092,"Apr 15, 2021"
"Yesterday, in the presence of dep. FM @Piotr_Wawrzyk, 🇵🇪 Ambassador to Poland Alberto Salas Barahona signed the Montreal Protocol No. 3 amending the Warsaw Convention of 1929, for which 🇵🇱's government is the depositary.


More⤵️",https://t.co/HyMGzDqOJa,http://t.co/HyMGzDqOJa,https://twitter.com/PolandMFA/status/1382690985940021262,"Apr 15, 2021"
"""Russia’s destabilising activities are now the biggest challenge to European security,"" FM @RauZbigniew stressed in his remarks during yesterday's emergency videoconference of the North Atlantic Council #NAC on Afghanistan.
 
More⤵️",https://t.co/DZBg6tLDAD,http://t.co/DZBg6tLDAD,https://twitter.com/PolandMFA/status/1382690678036119553,"Apr 15, 2021"
"FM @RauZbigniew participated in the North Atlantic Council videoconference convened to discuss @NATO plans to end its military mission in Afghanistan.

Minister also raised the issue of escalating tensions over 🇷🇺 troop concentrations and movements along the border with Ukraine.",https://t.co/b6krbQwAxJ,http://t.co/b6krbQwAxJ,https://twitter.com/PolandMFA/status/1382413481102675971,"Apr 14, 2021"
"Our best wishes and congratulations on the occasion of your Independence Day, #Israel! 🇵🇱🇮🇱

#YomHaatzmaut",https://t.co/xS3rrgwrVI,http://t.co/xS3rrgwrVI,https://twitter.com/PolandMFA/status/1382376908915113994,"Apr 14, 2021"
"""The #EU needs partners to strengthen values- and rules-based international order, and to breathe new energy into managing global economy,"" FM @RauZbigniew said at yesterday's @raisinadialogue conference.

More⤵️",https://t.co/RnMebxE9HP,http://t.co/RnMebxE9HP,https://twitter.com/PolandMFA/status/1382347495532023809,"Apr 14, 2021"
"At the initiative of the 🇺🇸 side, FM @RauZbigniew held yesterday a phone call with the US Secretary of State @SecBlinken on the current topics on the transatlantic agenda.

Read more⤵️",https://t.co/bXgLmkmHWm,http://t.co/bXgLmkmHWm,https://twitter.com/PolandMFA/status/1382333656291807235,"Apr 14, 2021"
"Dep. FM @paweljabIonski on the Strategic 🇵🇱-🇫🇷 Partnership with Ambassador of #France Frédéric Billet – nuclear energy cooperation, security situation in Sahel, support for Polish entrepreneurs in France among discussed topics.",https://t.co/1uCMUTIZSM,http://t.co/1uCMUTIZSM,https://twitter.com/PolandMFA/status/1382045975263514626,"Apr 13, 2021"
"FM @RauZbigniew  bade farewell to the Ambassador of China to Poland, LIU Guangyuan who is completing his mission in Warsaw. Very good Polish-Chinese 🇵🇱🇨🇳 relations were possible thanks to the personal commitment of Ambassador Liu.",https://t.co/RBFVN4s2xy,http://t.co/RBFVN4s2xy,https://twitter.com/PolandMFA/status/1381993720141254662,"Apr 13, 2021"
"On the #KatyńMassacre Remembrance Day, we pay homage to nearly 22,000 🇵🇱 POWs brutally murdered by the NKVD in the spring of 1940.

Their mass graves in Katyn, Kharkiv, Mednoye, Bykivnia and other locations are a painful symbol of Soviet crimes and attempts at falsifying history.",https://t.co/pP8PH25OxU,http://t.co/pP8PH25OxU,https://twitter.com/PolandMFA/status/1381870261276917760,"Apr 13, 2021"
Min. @RauZbigniew and Ambassador of #Australia @AusAmbPoland discussed today 🇵🇱🇦🇺 political & economic cooperation. In 2022 our countries will celebrate the 50th anniversary of establishing 🇵🇱🇦🇺diplomatic relations.,https://t.co/WOAwsFqlhS,http://t.co/WOAwsFqlhS,https://twitter.com/PolandMFA/status/1381672848780099590,"Apr 12, 2021"
"RT @PLinUN_Vienna: 🇵🇱Amb. Krois, Chair of #CND64 delivered a statement at the high-level side-event on the impact of #COVID19 pandemic on t…",,,https://twitter.com/PolandMFA/status/1381646471427207176,"Apr 12, 2021"
"FM @RauZbigniew met with the Ambassador of Luxembourg 🇱🇺 Paul #Schmit.

The discussion was focused on bilateral relations, 🇵🇱🇱🇺cooperation regarding commemoration of the victims of the Gusen concentration camp and also Eastern policy, including the current situation in #Ukraine.",https://t.co/RH0pmrB09D,http://t.co/RH0pmrB09D,https://twitter.com/PolandMFA/status/1381613769038696450,"Apr 12, 2021"
"⚫️April 10th marks the anniversary of one of the most tragic events in 🇵🇱's recent history.

In 2010, #Poland's President Lech Kaczyński, his wife Maria and 94 others aboard a government aircraft died in a crash near Smolensk.

Today, we honour their memory.

#Smolensk2010 🕯️🕯️",https://t.co/GeB3qkjPA5,http://t.co/GeB3qkjPA5,https://twitter.com/PolandMFA/status/1380762970989457409,"Apr 10, 2021"
RT @PolishEmbassyUK: Flags have been lowered to half-mast at @PolishEmbassyUK following the passing of His Royal Highness The Duke of Edinb…,,,https://twitter.com/PolandMFA/status/1380589898613334018,"Apr 09, 2021"
"FM @RauZbigniew on today’s meetings in Kyiv:

🗯The purpose of my visit was to reaffirm our policy that 🇺🇦 is not alone in defending its sovereignty, territorial integrity, and inviolability of its borders and that 🇺🇦 has every reason to defend itself.

➡️",https://t.co/4USTiKCWN2,http://t.co/4USTiKCWN2,https://twitter.com/PolandMFA/status/1380199888156299269,"Apr 08, 2021"
"Upon the 81st anniversary of the Katyń Massacre, FM @RauZbigniew paid tribute to the memory of the victims of the NKVD at the 🇵🇱 War Cemetery in Kiev-Bykivnia.

To mark the 11th anniversary of the Smolensk plane crash, Minister laid a wreath at the statue of Anna Walentynowicz.",https://t.co/qKW7hDJoWt,http://t.co/qKW7hDJoWt,https://twitter.com/PolandMFA/status/1380189630474108937,"Apr 08, 2021"
RT @RauZbigniew: Today I pay tribute to the victims of the Katyn Massacre. Let me invite you to join me and light a symbolic candle of reme…,,,https://twitter.com/PolandMFA/status/1380172401560981505,"Apr 08, 2021"
During today's meetings in Kyiv 🇺🇦 FM @RauZbigniew addressed the impacts of the #NordStream2 project.,https://t.co/18kRp1RnfU,http://t.co/18kRp1RnfU,https://twitter.com/PolandMFA/status/1380171117403512837,"Apr 08, 2021"
"FM @RauZbigniew met with the head of the 🇺🇦 delegation in the Trilateral Contact Group Leonid Kravchuk and dep. PM of Ukraine 🇺🇦 Oleksiy Reznikov, who presented details of the initiative regarding peace talks on the conflict in Donbass.",https://t.co/8d0qIsHgWf,http://t.co/8d0qIsHgWf,https://twitter.com/PolandMFA/status/1380162923625058308,"Apr 08, 2021"
"""An independent, secure #Ukraine is an inalienable part of a Europe that remains true to the fundamental principles of Charter of Paris for a New Europe,"" FM @RauZbigniew emphasised during today's meetings with 🇺🇦 partners.",https://t.co/G611RHsIgC,http://t.co/G611RHsIgC,https://twitter.com/PolandMFA/status/1380153916525060109,"Apr 08, 2021"
"FM @RauZbigniew assured that Ukraine 🇺🇦 is not alone in defending its sovereignty, territorial integrity and inviolability of its borders.",https://t.co/q4sxLys4p9,http://t.co/q4sxLys4p9,https://twitter.com/PolandMFA/status/1380132838813601794,"Apr 08, 2021"
"During today's meeting, FM @RauZbigniew and the 🇺🇦 FM @DmytroKuleba discussed threats to peace in Europe arising from the escalating tensions along Ukraine's northern and eastern borders and in occupied Crimea, and the construction of #NordStream2.",https://t.co/3r6U9bQVX9,http://t.co/3r6U9bQVX9,https://twitter.com/PolandMFA/status/1380112152778969088,"Apr 08, 2021"
"""Ukraine has the right to defend itself,"" FM @RauZbigniew said during today's visit to Kyiv. 🇺🇦",https://t.co/urn728tqhf,http://t.co/urn728tqhf,https://twitter.com/PolandMFA/status/1380104493140955142,"Apr 08, 2021"
"FM @RauZbigniew began his working visit to Ukraine by meeting with the 🇺🇦 FM @DmytroKuleba.

At the St. Michael's Golden-Domed Monastery in Kyiv, the heads of 🇵🇱 and 🇺🇦 diplomacy paid their respects to the memory of thousands of victims of Russian aggression in Ukraine.",https://t.co/5pJAEMP1Zn,http://t.co/5pJAEMP1Zn,https://twitter.com/PolandMFA/status/1380088088895102977,"Apr 08, 2021"
"Today, April 8, FM @RauZbigniew will make an extraordinary urgent visit to Kyiv 🇺🇦 in light of the threat to peace on Ukraine's borders.",https://t.co/P1W12j6LLM,http://t.co/P1W12j6LLM,https://twitter.com/PolandMFA/status/1380040174785196032,"Apr 08, 2021"
"RT @PLPermRepEU: In February #Poland’s unemployment remained at the lowest level in the #EU.

🇵🇱3.1%
🇨🇿3.2%
🇳🇱3.6%
🇲🇹4.4%
🇩🇪4.5%
🇭🇺4.5%
🇸🇮4…",,,https://twitter.com/PolandMFA/status/1379824270105178112,"Apr 07, 2021"
"International institutions and EU Member States stand united against repressions of Poles in Belarus.

Together against breaking human rights in Belarus.

#FreePolesInBelarus",https://t.co/rQyWQLtODX,http://t.co/rQyWQLtODX,https://twitter.com/PolandMFA/status/1379816779355144196,"Apr 07, 2021"
"💬 In the year 2020, so affected by the pandemic, trade between our two countries not only did not shrink but actually grew by four percent - stressed FM @RauZbigniew in his opening remarks to today’s Poland 🇵🇱-Estonia 🇪🇪 Virtual Business Forum. 

More ⤵️",https://t.co/NVxRyrP0hC,http://t.co/NVxRyrP0hC,https://twitter.com/PolandMFA/status/1379814114013425670,"Apr 07, 2021"
"FM @RauZbigniew extends his best wishes to Poles and all friends of Poland🇵🇱 across the world on the occasion of Easter:

– Let me wish you all strength and a peace of mind, but above all, health and a sense of security.

Happy Easter!",https://t.co/WNAfMMIY86,http://t.co/WNAfMMIY86,https://twitter.com/PolandMFA/status/1378588143625068545,"Apr 04, 2021"
"Poles around the world have been joining protests against #humanrights violations and oppression of the Polish🇵🇱 minority in Belarus.

We stand together against repressions of Poles in Belarus!

#FreePolesInBelarus",https://t.co/gRjroO6w0H,http://t.co/gRjroO6w0H,https://twitter.com/PolandMFA/status/1377879971482439681,"Apr 02, 2021"
