tablescraper-selected-row,tablescraper-selected-row href,grey
"Jesus is the Risen One, the Lord who passed through death in order to lead us to safety. Even before we begin to seek Him, He is present beside us. He lifts us back up after our falls. He helps us grow in faith. #Easter",https://twitter.com/Pontifex/status/1381570293085270016,"Apr 12, 2021"
"Mercy is made tangible, it becomes closeness, service, care for those in difficulty. I hope you will always feel you have been granted mercy, so as to be merciful to others in turn.",https://twitter.com/Pontifex/status/1381215458137935872,"Apr 11, 2021"
"So let us be renewed by the peace, forgiveness and wounds of the merciful Jesus. Only in this way will our faith be alive. Only in this way will we proclaim the Gospel of God, which is the Gospel of mercy.",https://twitter.com/Pontifex/status/1381207904531845122,"Apr 11, 2021"
"Today is the day to ask, “Am I, who have so often received God’s mercy, merciful to others?” Let us not live a one-way faith, a faith that receives but does not give. Having received mercy, let us now become merciful. #DivineMercy",https://twitter.com/Pontifex/status/1381200355887886339,"Apr 11, 2021"
"The wounds of Jesus are open channels between him and us, shedding mercy upon our misery. They are pathways that God has opened up for us to enter into his tender love and actually “touch” who he is. Let us never again doubt his mercy. #DivineMercy",https://twitter.com/Pontifex/status/1381192802982240256,"Apr 11, 2021"
The Lord does not want us to keep thinking about our failings. He wants us to look to Him. In our failings He sees children to help up; in our misery He sees children in need of His merciful love. #DivineMercy,https://twitter.com/Pontifex/status/1380845515378618369,"Apr 10, 2021"
"The Lord calls us to cooperate in the construction of history, becoming, together with Him, peacemakers and witnesses of hope in a future of salvation and resurrection.",https://twitter.com/Pontifex/status/1380483127777193992,"Apr 09, 2021"
"#Easter is the most important feast of our faith because it is the feast of our salvation, the feast of God's love for us.",https://twitter.com/Pontifex/status/1380120739202752520,"Apr 08, 2021"
"The first way to pray for someone is to speak to God about him or her. If we do this frequently, each day, our hearts are not closed, but open to our brothers and sisters. To pray for others is the first way to love them and it moves us toward concretely drawing near. #Prayer",https://twitter.com/Pontifex/status/1379781006266359815,"Apr 07, 2021"
"Everyone needs assistance, especially the most vulnerable. Only together can we build a more just and health world. All of us are called to combat the pandemic and vaccines are an essential tool in this fight. #worldhealthday",https://twitter.com/Pontifex/status/1379747200331350017,"Apr 07, 2021"
,https://twitter.com/Pontifex/status/1379445037134712836,"Apr 06, 2021"
"In these dark months of the #pandemic, let us listen to the Risen Lord as he invites us to begin anew and never lose hope. #Easter",https://twitter.com/Pontifex/status/1379395965010989063,"Apr 06, 2021"
Let us never tire of seeking the risen Christ who gives life in abundance to those who meet him. To find Christ means to discover peace in our hearts. #Easter #ReginaCoeli,https://twitter.com/Pontifex/status/1379053533157265412,"Apr 05, 2021"
"There are still too many wars and too much violence in the world!  May the Lord, who is our peace, help us to overcome the mindset of war.",https://twitter.com/Pontifex/status/1378686287167823875,"Apr 04, 2021"
"Amid the many hardships we are enduring, let us never forget that we have been healed by the wounds of Christ. In the light of the Risen Lord, our sufferings are now transfigured.  Where there was death, now there is life.  Where there was mourning, now there is consolation.",https://twitter.com/Pontifex/status/1378663625045458946,"Apr 04, 2021"
"Dear brother, dear sister: if on this night you are experiencing an hour of darkness, a day that has not yet dawned, a light dimmed or a dream shattered, open your heart with amazement to the message of #Easter: “Do not be afraid, he has risen!”",https://twitter.com/Pontifex/status/1378434628755681282,"Apr 03, 2021"
"This is the third message of #Easter: Jesus, the Risen Lord, loves us without limits and is there at every moment of our lives.  He invites us to overcome barriers, banish prejudices and draw near to those around us every day in order to rediscover the grace of everyday life.",https://twitter.com/Pontifex/status/1378431268132622336,"Apr 03, 2021"
"This is the second message of #Easter: faith is not an album of past memories; Jesus is not outdated.  He is alive here and now.  He walks beside you each day, in every situation you are experiencing, in every trial you have to endure, in your deepest hopes and dreams.",https://twitter.com/Pontifex/status/1378430374947258368,"Apr 03, 2021"
"This is the first #Easter message that I would offer you: it is always possible to begin anew, because there is a new life that God can awaken in us in spite of all our failures.  From the rubble of our hearts, God can create a work of art.",https://twitter.com/Pontifex/status/1378429357706870785,"Apr 03, 2021"
"From the cross God reigns with the disarmed and disarming power of love. He continues to amaze our minds and hearts. Let us allow ourselves to be filled with that amazement. Let us gaze upon the Crucified One and say: “Truly, You are the Son of God."" You are my God. #GoodFriday",https://twitter.com/Pontifex/status/1378006809756192770,"Apr 02, 2021"
"Jesus's cross is God's silent throne. Let us daily contemplate his wounds. In those gashes, we recognize our emptiness, our shortcomings, the wounds of our sin. His wounds were inflicted for our sake, and by those wounds we have been healed. #GoodFriday",https://twitter.com/Pontifex/status/1377923770992615424,"Apr 02, 2021"
"The cross expresses love, service, unreserved self-giving: it truly is the “tree of life”, of overabundant life. #GoodFriday",https://twitter.com/Pontifex/status/1377878465857253380,"Apr 02, 2021"
"The Eucharist is Jesus himself who gives himself entirely to us. Nourishing ourselves of Him and abiding in Him through Eucharistic Communion, if we do so with faith, transforms our life, transforms it into a gift to God and to our brothers and sisters. #HolyThursday",https://twitter.com/Pontifex/status/1377614224302735367,"Apr 01, 2021"
The preaching of the Gospel is effective not because of our eloquent words but because of the power of the cross (cf. 1 Cor 1:17). #ChrismMass,https://twitter.com/Pontifex/status/1377584024059793409,"Apr 01, 2021"
The process of conversion always entails the cross. There is no holiness without sacrifice and without a spiritual battle. #HolyWeek,https://twitter.com/Pontifex/status/1377236738599497730,"Mar 31, 2021"
"Christ’s Cross is like a beacon that indicates the port to ships that are still afloat on stormy seas. It is the sign of the hope that does not disappoint. And it tells us that not even one tear, not one sigh is lost in God’s saving plan. #Holy Week",https://twitter.com/Pontifex/status/1377214094231490561,"Mar 31, 2021"
"Along the daily way of the cross, we meet the faces of so many brothers and sisters in difficulty: let us not pass by, let us allow our hearts to be moved with compassion, and let us draw near.",https://twitter.com/Pontifex/status/1376874348691132417,"Mar 30, 2021"
"Jesus was lifted up on the cross to descend into our suffering, to plumb the depths of our human experience, to draw near to us and not abandon us in our suffering and our death. To redeem us, to save us. #HolyWeek",https://twitter.com/Pontifex/status/1376859248718716930,"Mar 30, 2021"
"During these days, the Church enters into the great meditation of the Lord's Passion. The suffering Christ is present in the person of the poor, the excluded, the sick, the hungry, those who bear the mystery of the cross with Him. #HolyWeek",https://twitter.com/Pontifex/status/1376496862929297409,"Mar 29, 2021"
"What is most amazing about the Lord and his Passover? It is the fact that he achieves glory through humiliation. He triumphs by accepting suffering and death, things that we, in our quest for admiration and success, would rather avoid. #PalmSunday",https://twitter.com/Pontifex/status/1376149573123645442,"Mar 28, 2021"
"God is at our side in every affliction, in every fear; no evil, no sin will ever have the final word. God triumphs, but the palm of victory passes through the wood of the cross. For the palm and the cross are inseparable. #PalmSunday",https://twitter.com/Pontifex/status/1376119372821880835,"Mar 28, 2021"
"We are called to recognize that other living beings have a value of their own in God’s eyes: by their mere existence they bless him and give him glory, and indeed, the Lord rejoices in all his works (Ps 104:31). #EarthHour #LaudatoSi’",https://twitter.com/Pontifex/status/1375892880804417539,"Mar 27, 2021"
"“Why are you afraid? Have you no faith?” (Mk 4:35-41). We have realized we are on the same boat, all of us fragile and disoriented, but at the same time important and needed, all of us called to row together. #PrayTogether #Covid-19",https://twitter.com/Pontifex/status/1375787186629402626,"Mar 27, 2021"
"Those who fast make themselves poor with the poor and ""accumulate"" the treasure of a love received and shared. Understood and practiced thus, fasting helps us love God and our neighbour, because love focuses our attention on others and considers them as one with ourselves. #Lent",https://twitter.com/Pontifex/status/1375424798130634755,"Mar 26, 2021"
"I would like once more to invite everyone to witness to the “Gospel of Life”, to promote and defend life in all its dimensions and at every stage. The Christian is the person who says “yes” to life, who says “yes” to God, the Living One. #EvangeliumVitae",https://twitter.com/Pontifex/status/1375077509058887689,"Mar 25, 2021"
"At this particular moment in history, characterized by many shadows, the figure of Dante, prophet of hope, can help us to advance with serenity and courage on the pilgrimage of life that each of us is called to make.",https://twitter.com/Pontifex/status/1375047310376321025,"Mar 25, 2021"
"Mary is not only the bridge joining us to God; she is more. She is the road that God travelled to reach us, and the road that we must travel in order to reach him. #AnnunciationOfTheLord",https://twitter.com/Pontifex/status/1375017378157883392,"Mar 25, 2021"
"#Praytogether for the victims and those reported missing because of the terrible fire that broke out in a #Rohingya refugee camp in Bangladesh, which generously welcomed thousands of people. Let us pray for the twenty thousand brothers and sisters, who lost the little they had.",https://twitter.com/Pontifex/status/1374994460761726982,"Mar 25, 2021"
"Mary was and is present in these days of the pandemic, near to the people who, unfortunately, have concluded their earthly journey all alone, without the comfort of or the closeness of their loved ones. Mary is always there next to us, with her maternal tenderness.",https://twitter.com/Pontifex/status/1374730222327631872,"Mar 24, 2021"
"I learned with sorrow the news of the recent terrorist attacks in #Niger, which caused the deaths of 137 people. Let us #PrayTogether for the victims, for their families and for the entire population.",https://twitter.com/Pontifex/status/1374724340164485129,"Mar 24, 2021"
"I am near the people and the families affected by the major floods that have caused serious damage in New South Wales in Australia, especially those who saw their houses destroyed. #PrayTogether",https://twitter.com/Pontifex/status/1374700021510250497,"Mar 24, 2021"
Today is World #Tuberculosis Day. May this annual event foster a renewed interest in the treatment of this disease and increased solidarity toward those who suffer from it.,https://twitter.com/Pontifex/status/1374692853528596482,"Mar 24, 2021"
"May we not let this time of grace pass in vain, in the foolish illusion that we can control the times and means of our conversion to the Lord! #Lent",https://twitter.com/Pontifex/status/1374352732056879105,"Mar 23, 2021"
"How many times have we told the Lord: “Lord, I will come to you later... I can’t come today. Tomorrow I will begin to pray and do something for others”. In this life, we will always have things to do and excuses to offer, but right now is the time to return to God. #Lent",https://twitter.com/Pontifex/status/1374322533332254723,"Mar 23, 2021"
"For us believers, “sister water” is not merchandise: it is a universal symbol and is the source of life and health. Many brothers and sisters have access to too little and perhaps polluted water. It is necessary to assure potable water and hygienic services to all. #WorldWaterDay",https://twitter.com/Pontifex/status/1373975245275680776,"Mar 22, 2021"
"“Unless a grain of wheat falls into the earth and dies, it remains just a single grain; but if it dies, it bears much fruit” (Jn 12:23-24). Precisely then, in trials and in solitude while the seed is dying, that is the moment in which life blossoms, to bear ripe fruit in due time",https://twitter.com/Pontifex/status/1373597758540582912,"Mar 21, 2021"
"Every child who a woman expects in her womb is a gift that changes a family’s history: the life of fathers and mothers, grandparents and of brothers and sisters. That child needs to be welcomed, loved and nurtured. Always! #WorldDownSyndromeDay",https://twitter.com/Pontifex/status/1373575114244067333,"Mar 21, 2021"
"Racism is a virus that quickly mutates and, instead of disappearing, goes into hiding, and lurks in waiting. Instances of racism continue to shame us, for they show that our supposed social progress is not as real or definitive as we think. #FightRacism #FratelliTutti",https://twitter.com/Pontifex/status/1373560009120944136,"Mar 21, 2021"
"Each day that begins, if welcomed in #prayer, is accompanied by courage, so that the problems we have to face no longer seem to be obstacles to our #happiness, but rather appeals from God, opportunities for our encounter with him. #WorldHappinessDay",https://twitter.com/Pontifex/status/1373250469628350469,"Mar 20, 2021"
"To be a good father means to offer everything, holding nothing back; to protect without suffocating; to pardon without asking anything in return; to wait patiently and trustingly. It means following the example of the ""Good Father"" who is in heaven. May God bless all fathers!",https://twitter.com/Pontifex/status/1372903183601725440,"Mar 19, 2021"
"Saint Joseph is an outstanding example of acceptance of God’s plans. May he help everyone, especially young people who are discerning, to make God’s dreams for them come true. #Vocations",https://twitter.com/Pontifex/status/1372869207134715905,"Mar 19, 2021"
"I pray that every family may feel the living presence of the Holy Family of Nazareth in their own home, that they may fill our small domestic communities with sincere and generous love, a source of joy even in trials and difficulties. #AmorisLaetitia",https://twitter.com/Pontifex/status/1372850342308712450,"Mar 19, 2021"
"To experience #Lent in hope means receiving the hope of Christ, who gave his life on the cross and was raised by God on the third day, and always being prepared to make a defence to anyone who calls us to account for our hope (1 Pt 3,15).",https://twitter.com/Pontifex/status/1372525693272137730,"Mar 18, 2021"
"With great sorrow, I must recall the dramatic situation in #Myanmar, where many people, especially young people, are losing their lives to offer hope to their country. I too kneel in the streets of Myanmar and say: End the violence! May dialogue prevail!",https://twitter.com/Pontifex/status/1372163308086718469,"Mar 17, 2021"
"The Holy Spirit writes the history of the Church and of the world. We are open books, willing to receive his handwriting. And in each of us the Spirit composes original works, because there is never one Christian who is completely identical to another. #GeneralAudience",https://twitter.com/Pontifex/status/1372148206369341444,"Mar 17, 2021"
"In these days of uncertainty about our future, in our charity may we speak works of reassurance and help others to realise that God loves them as sons and daughters. #Lent",https://twitter.com/Pontifex/status/1371800918564302850,"Mar 16, 2021"
To experience #Lent with love means caring for those who suffer or feel abandoned and fearful because of the #Covid-19 pandemic.,https://twitter.com/Pontifex/status/1371438531499941890,"Mar 15, 2021"
"Ten years ago, the bloody conflict in Syria began that has caused one of the most serious humanitarian catastrophes. Let us #PrayTogether so that all the suffering experienced by beloved and tortured Syria might not be forgotten and so that our solidarity might revive their hope.",https://twitter.com/Pontifex/status/1371108989635792897,"Mar 14, 2021"
"Dear brothers and sisters from the #Philippines, five hundred years have passed since the Christian message first arrived in your land and you received the joy of the Gospel.  And this joy is evident in your people. Thank you for the joy you bring to the whole world!",https://twitter.com/Pontifex/status/1371076141767913473,"Mar 14, 2021"
"If God so loves us that he gives himself to us, the Church too has this mission. She is not sent to judge but to welcome; not to impose, but to sow; not to condemn, but to bring Christ who is our salvation.",https://twitter.com/Pontifex/status/1371068600438689792,"Mar 14, 2021"
"In Jesus, God went in search of us where we were lost. In Jesus, he came to raise us up when we fell. In Jesus, he wept with us and healed our wounds. In Jesus, he blessed our life forever. #Laetare",https://twitter.com/Pontifex/status/1371061042281807879,"Mar 14, 2021"
#Lent is about discerning where our hearts are directed. Let us ask: Where is my life’s navigation system taking me – towards God or towards myself?,https://twitter.com/Pontifex/status/1370713754200010752,"Mar 13, 2021"
"By receiving forgiveness in the Sacrament of Reconciliation, that is the heart of our process of conversion, we spread forgiveness. Having received forgiveness, we can offer it through attentive dialogue and giving comfort to those experiencing sorrow and pain. #Lent",https://twitter.com/Pontifex/status/1370351368888721412,"Mar 12, 2021"
"I encourage you to dedicate time to the Word of God, to the Sacraments, and to fasting and prayer, in order to renew our relationship with God, ourselves, and our neighbor. #Lent #24hoursfortheLord",https://twitter.com/Pontifex/status/1370336266903031813,"Mar 12, 2021"
"The beginning of the return to God is the recognition of our need for him and his mercy. This is the right path, the path of humility. #Lent #24hoursfortheLord",https://twitter.com/Pontifex/status/1370321167047856128,"Mar 12, 2021"
"All of us have spiritual infirmities that we cannot heal on our own. We need Jesus’ healing, we need to present our wounds to him and say: “Jesus, I am in your presence, with my sin, with my sorrows. You can set me free. Heal my heart”. #Lent",https://twitter.com/Pontifex/status/1369988980230471680,"Mar 11, 2021"
"A message of fraternity came from Erbil as well, the city in which I was received by the President of the autonomous region of Iraqi Kurdistan, @IKRPresident, and its Prime Minister, by the Authorities and by the people. I thank the dear Kurdish population for their warm welcome.",https://twitter.com/Pontifex/status/1369671889270968326,"Mar 10, 2021"
"I am grateful to the religious Authorities as well, beginning with the Grand Ayatollah Al-Sistani, with whom I had an unforgettable meeting. May God, who is peace, grant a future of fraternity to Iraq, the Middle East and the entire world!",https://twitter.com/Pontifex/status/1369670129349443587,"Mar 10, 2021"
"After my Visit in #Iraq, I am filled with gratitude to God and to all those who made it possible: the President of the Republic, @BarhamSalih, and the Government, the Patriarchs and Bishops.",https://twitter.com/Pontifex/status/1369670039671087113,"Mar 10, 2021"
"Thinking of the many Iraqis who have emigrated, I would like to say to them: you have left everything, like Abraham; like him, keep the faith and hope and be weavers of friendship and of fraternity wherever you are. And if you can, return. #Iraq #GeneralAudience",https://twitter.com/Pontifex/status/1369656790355308548,"Mar 10, 2021"
"Let us continue to pray for Iraq and for the Middle East. Despite the destruction, in #Iraq, the palm, the country's symbol, has continued to grow and bear fruit. So it is for fraternity: it does not make noise, but is fruitful and grows. #GeneralAudience #PrayTogether",https://twitter.com/Pontifex/status/1369627848823107592,"Mar 10, 2021"
"The response to war is not another war. The response to weapons is not other weapons. The response is fraternity. This is the challenge not only for Iraq. It is the challenge for many regions in conflict and, ultimately, for the entire world. #Peace #GeneralAudience",https://twitter.com/Pontifex/status/1369626591379197954,"Mar 10, 2021"
"#Lent is a journey that involves our whole life, our entire being. It is a time to reconsider the path we are taking, to find the route that leads us home and to rediscover our profound relationship with God, on whom everything depends.",https://twitter.com/Pontifex/status/1369264204922822661,"Mar 09, 2021"
"Iraq will always remain in my heart. I ask all of you, dear brothers and sisters, to work together, united for a future of peace and prosperity that leaves no one behind and discriminates against no one. I assure you of my prayers for this beloved country. #ApostolicJourney",https://twitter.com/Pontifex/status/1368901816864280580,"Mar 08, 2021"
"I would like to say a heartfelt thank you to all the women, especially the women of #Iraq, courageous women who continue to give life, in spite of wrongs and hurts. May women be respected and protected! May they be shown respect and provided with opportunities! #ApostolicJourney",https://twitter.com/Pontifex/status/1368822542291591171,"Mar 08, 2021"
"Today, I can see at first hand that the Church in Iraq is alive, that Christ is alive and at work in this, his holy and faithful people. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368607378845937664,"Mar 07, 2021"
"“Destroy this temple, and in three days I will raise it up” (Jn 2:19). Jesus was speaking about the temple of his body, and about the Church as well. By the power of his Resurrection he can raise our communities from the ruins left by hatred. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368592283411562496,"Mar 07, 2021"
"God can bring peace to this land.  We trust in him and, together with all people of good will, we say “no” to terrorism and the manipulation of religion. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368524327499534339,"Mar 07, 2021"
"Fraternity is more durable than fratricide, hope is more powerful than hatred, peace more powerful than war. This conviction can never be silenced by the blood spilled by those who pervert the name of God to pursue paths of destruction. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368479228732268547,"Mar 07, 2021"
"Lord, to you we entrust all those whose span of earthly life was cut short by the violent hand of their brothers and sisters; we also pray to you for those who caused such harm. May they repent, touched by the power of your mercy.",https://twitter.com/Pontifex/status/1368478232916471810,"Mar 07, 2021"
"Love is our strength, strength of so many brothers and sisters who here too have suffered prejudice and indignities, mistreatment and persecutions for the name of Jesus. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368252536327700482,"Mar 06, 2021"
"To be blessed, we do not need to become occasional heroes, but witnesses day after day. Witness is the way to embody the wisdom of Jesus. That is how the world is changed: not by power and might, but by the Beatitudes. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368248761646936064,"Mar 06, 2021"
"Almighty God, our Creator, you love our human family, we, children of Abraham, ask you to welcome into your abode of peace and light all victims of violence and war. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368177038826217473,"Mar 06, 2021"
"It is up to us, today’s humanity, especially believers, to turn instruments of hatred into instruments of #peace, to appeal firmly to the leaders of nations to make the increasing proliferation of arms give way to the distribution of food for all. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368149356474343427,"Mar 06, 2021"
"Where does the journey of peace begin? From the decision not to have enemies. Anyone who believes in God, has no enemies to fight.  He or she has only one enemy to face, one that stands at the door of the heart and knocks to enter: it is hatred.  #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368148098334265344,"Mar 06, 2021"
"#Peace does not demand winners or losers, but brothers and sisters who, despite past hurts, journey from conflict to unity.  Let us ask for this in praying for the whole Middle East, especially for war-torn Syria. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1368146840751837186,"Mar 06, 2021"
"Let us remember our brothers and sisters who have paid the extreme price for their fidelity to the Lord. May their sacrifice inspire us to renew our trust in the strength of the Cross and its saving message of forgiveness, reconciliation and rebirth #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1367859951859736579,"Mar 05, 2021"
"Only if we succeed in regarding each other, with our differences, as members of the same human family, can we begin an effective process of reconstruction and leave a better, more just and more human world to the future generations. #ApostolicJourney #Iraq",https://twitter.com/Pontifex/status/1367854916471910401,"Mar 05, 2021"
"I come as a penitent, asking forgiveness from Heaven and our brothers for so much destruction and cruelty; a pilgrim of peace, in the name of Christ, Prince of Peace. How we have prayed, in these years, for peace in #Iraq! God always listens. It is up to us to walk His paths.",https://twitter.com/Pontifex/status/1367853658663100418,"Mar 05, 2021"
"My dear Christian brothers and sisters from #Iraq, who have testified to your faith in Jesus amid harsh sufferings: I cannot wait to see you. I am honoured to encounter a Church of martyrs: thank you for your witness!",https://twitter.com/Pontifex/status/1367459813790150659,"Mar 04, 2021"
"Tomorrow I will go to #Iraq for a three-day pilgrimage. I have long wanted to meet those people who have suffered so much. I ask you to accompany this apostolic journey with your prayers, so it may unfold in the best possible way and bear hoped-for fruits.",https://twitter.com/Pontifex/status/1367452265456410625,"Mar 04, 2021"
"#Lent is a time to believe, or rather to receive God into our life so that we may “make our home with Him” (Jn 14: 23)",https://twitter.com/Pontifex/status/1367437163646844928,"Mar 04, 2021"
"Sad news of bloody clashes and loss of life reach us from Myanmar. I appeal to the authorities involved that dialogue may prevail over repression, and ask the international community to ensure that the aspirations of the people of Myanmar are not stifled.",https://twitter.com/Pontifex/status/1367107900297142278,"Mar 03, 2021"
"We would not have had the courage to believe in a God who loves humanity, if we had not known Jesus. What kind of God is prepared to die for people? What kind of God loves always and patiently, without demanding to be loved in return? #GeneralAudience",https://twitter.com/Pontifex/status/1367065830824026113,"Mar 03, 2021"
"Let us #PrayTogether that we may experience the sacrament of reconciliation with renewed depth, to taste the forgiveness and infinite mercy of God. #PrayerIntentions",https://twitter.com/Pontifex/status/1366776561286983696,"Mar 02, 2021"
"The center of confession is Jesus who waits for us, who listens to us and forgives us.",https://twitter.com/Pontifex/status/1366769011225071622,"Mar 02, 2021"
"All of us are specialists in crucifying others to save ourselves. Jesus, instead, allowed himself to be crucified, to teach us not to shift evil onto others. #Lent",https://twitter.com/Pontifex/status/1366365100576100352,"Mar 01, 2021"
"I ask government leaders, businesses, international organizations to cooperate and to seek a solution for everyone regarding #Covid: vaccines for everyone, especially for the world's most vulnerable and needy people. #ZeroDiscriminationDay",https://twitter.com/Pontifex/status/1366334902770143236,"Mar 01, 2021"
"In the case of rare diseases, a support network among family members is more important than ever. I encourage those initiatives that support research and cures and I express my closeness to those who ill, especially the children, and their families.",https://twitter.com/Pontifex/status/1366032911833661447,"Feb 28, 2021"
"I join my voice to that of the Bishops of Nigeria to condemn the vile kidnapping of the 317 girls, taken away from their school in Jangebe. I am praying for these girls so they might return home soon. I am near to their families.",https://twitter.com/Pontifex/status/1366017811928084488,"Feb 28, 2021"
